Ranking,Motor,Jogo,Score Neural Elite X,Confianca,Score,Score Base,Score Correlação,Score Final,Score Estratégico,Score Diversidade,Distância Média,Repetidas Último Concurso,Score Repetição,Score Soma,Score Distribuição,Soma,Pares,Ímpares,Classificação
147,Elite X PRO,04 - 09 - 11 - 34 - 53 - 58,67.73,Media,66.96,69.02,31.99,66.96,83.25,76.13,5.16,1,85.0,80.0,85.0,169,3,3,Muito Forte
148,Elite X PRO,03 - 30 - 33 - 39 - 44 - 52,67.72,Media,68.03,69.24,28.94,68.03,93.0,68.73,4.82,2,100.0,80.0,100.0,201,3,3,Muito Forte
149,Elite X PRO,03 - 27 - 35 - 37 - 44 - 48,67.72,Media,67.34,67.76,39.74,67.34,90.25,72.93,4.94,1,85.0,100.0,85.0,194,2,4,Muito Forte
150,Elite X PRO,06 - 09 - 30 - 35 - 44 - 60,67.68,Media,69.21,70.06,35.46,69.21,93.0,64.96,4.53,3,80.0,100.0,100.0,184,4,2,Muito Forte
151,Elite X PRO,06 - 09 - 35 - 37 - 38 - 42,67.68,Media,64.67,69.41,40.07,64.67,74.25,74.47,4.88,1,85.0,80.0,55.0,167,3,3,Forte
152,Elite X PRO,03 - 19 - 24 - 39 - 40 - 46,67.64,Media,69.26,66.99,28.47,69.26,94.75,73.53,5.18,1,85.0,100.0,100.0,171,3,3,Muito Forte
153,Elite X PRO,05 - 15 - 37 - 38 - 44 - 47,67.64,Media,67.07,66.51,35.7,67.07,90.25,73.87,5.02,1,85.0,100.0,85.0,186,2,4,Muito Forte
154,Elite X PRO,14 - 17 - 19 - 45 - 46 - 48,67.64,Media,62.92,60.19,38.46,62.92,72.25,86.87,5.5,1,85.0,100.0,25.0,189,3,3,Forte
155,Elite X PRO,09 - 10 - 27 - 49 - 54 - 60,67.62,Media,66.74,72.7,33.17,66.74,88.5,68.07,4.56,2,100.0,80.0,85.0,209,3,3,Muito Forte
156,Elite X PRO,10 - 14 - 15 - 39 - 46 - 48,67.61,Media,67.41,66.01,39.36,67.41,90.25,74.53,5.04,1,85.0,100.0,85.0,172,4,2,Muito Forte
157,Elite X PRO,06 - 13 - 30 - 45 - 53 - 60,67.57,Media,68.17,70.99,28.36,68.17,93.0,69.6,4.84,2,100.0,80.0,100.0,207,3,3,Muito Forte
158,Elite X PRO,09 - 24 - 27 - 30 - 33 - 49,67.57,Media,67.28,67.56,34.53,67.28,95.5,68.2,4.54,2,100.0,100.0,85.0,172,2,4,Muito Forte
159,Elite X PRO,09 - 13 - 14 - 37 - 49 - 56,67.56,Media,69.77,72.85,27.27,69.77,94.75,67.47,4.7,1,85.0,100.0,100.0,178,2,4,Muito Forte
160,Elite X PRO,06 - 11 - 30 - 42 - 45 - 52,67.54,Media,68.64,66.42,32.58,68.64,94.75,71.8,5.02,1,85.0,100.0,100.0,186,4,2,Muito Forte
161,Elite X PRO,09 - 19 - 30 - 42 - 46 - 52,67.54,Media,68.58,67.29,32.22,68.58,100.0,69.67,4.86,2,100.0,100.0,100.0,198,4,2,Muito Forte
162,Elite X PRO,04 - 09 - 24 - 42 - 45 - 56,67.51,Media,67.46,67.66,32.74,67.46,90.25,73.47,4.98,1,85.0,100.0,85.0,180,4,2,Muito Forte
163,Elite X PRO,04 - 16 - 30 - 37 - 44 - 59,67.49,Media,69.9,68.44,31.83,69.9,94.75,68.43,4.96,1,85.0,100.0,100.0,190,4,2,Muito Forte
164,Elite X PRO,04 - 11 - 33 - 38 - 40 - 60,67.49,Media,66.89,65.74,33.12,66.89,90.25,77.27,5.24,1,85.0,100.0,85.0,186,4,2,Muito Forte
165,Elite X PRO,05 - 10 - 15 - 42 - 49 - 53,67.47,Media,67.41,67.12,36.93,67.41,90.25,73.33,4.98,1,85.0,100.0,85.0,174,2,4,Muito Forte
166,Elite X PRO,09 - 14 - 27 - 35 - 38 - 40,67.47,Media,66.77,68.96,36.22,66.77,83.25,73.93,4.98,1,85.0,80.0,85.0,163,3,3,Muito Forte
167,Elite X PRO,04 - 21 - 23 - 30 - 38 - 49,67.42,Media,66.57,67.74,36.7,66.57,83.25,73.8,4.96,1,85.0,80.0,85.0,165,3,3,Muito Forte
168,Elite X PRO,01 - 09 - 27 - 30 - 42 - 52,67.42,Media,66.47,68.84,32.16,66.47,88.5,70.73,4.78,2,100.0,80.0,85.0,161,3,3,Muito Forte
169,Elite X PRO,09 - 13 - 31 - 39 - 44 - 52,67.41,Media,68.89,69.43,31.28,68.89,94.75,68.87,4.84,1,85.0,100.0,100.0,188,2,4,Muito Forte
170,Elite X PRO,09 - 30 - 33 - 36 - 44 - 49,67.41,Media,66.17,69.9,32.46,66.17,88.5,67.07,4.5,2,100.0,80.0,85.0,201,3,3,Muito Forte
171,Elite X PRO,08 - 09 - 11 - 40 - 48 - 58,67.39,Media,69.03,67.19,32.08,69.03,94.75,73.13,5.16,1,85.0,100.0,100.0,174,4,2,Muito Forte
172,Elite X PRO,10 - 11 - 30 - 44 - 45 - 54,67.39,Media,68.95,69.91,36.74,68.95,94.75,65.67,4.56,1,85.0,100.0,100.0,194,4,2,Muito Forte
173,Elite X PRO,06 - 30 - 33 - 37 - 38 - 44,67.39,Media,66.98,67.44,36.72,66.98,90.25,71.07,4.78,1,85.0,100.0,85.0,188,4,2,Muito Forte
174,Elite X PRO,16 - 17 - 25 - 35 - 44 - 49,67.39,Media,66.43,62.58,36.99,66.43,90.25,77.53,5.22,1,85.0,100.0,85.0,186,2,4,Muito Forte
175,Elite X PRO,04 - 18 - 19 - 30 - 39 - 53,67.37,Media,68.41,69.51,32.77,68.41,87.75,71.2,4.96,1,85.0,80.0,100.0,163,3,3,Muito Forte
176,Elite X PRO,01 - 08 - 24 - 33 - 48 - 60,67.32,Media,68.91,66.56,31.09,68.91,94.75,74.87,5.28,1,85.0,100.0,100.0,174,4,2,Muito Forte
177,Elite X PRO,06 - 12 - 15 - 30 - 37 - 53,67.32,Media,68.09,68.61,33.34,68.09,93.0,69.33,4.82,2,100.0,80.0,100.0,153,3,3,Muito Forte
178,Elite X PRO,15 - 17 - 30 - 32 - 36 - 49,67.32,Media,67.2,65.81,31.3,67.2,88.5,73.4,4.94,3,80.0,100.0,85.0,179,3,3,Muito Forte
179,Elite X PRO,03 - 13 - 33 - 39 - 44 - 52,67.31,Media,68.65,68.22,27.65,68.65,94.75,71.8,5.06,1,85.0,100.0,100.0,184,2,4,Muito Forte
180,Elite X PRO,04 - 11 - 19 - 38 - 49 - 56,67.3,Media,70.08,70.64,42.45,70.08,79.0,72.73,5.1,0,40.0,100.0,100.0,177,3,3,Muito Forte
181,Elite X PRO,12 - 15 - 26 - 28 - 37 - 59,67.28,Media,66.95,64.12,26.47,66.95,90.25,79.8,5.38,1,85.0,100.0,85.0,177,3,3,Muito Forte
182,Elite X PRO,01 - 10 - 37 - 39 - 49 - 60,67.27,Media,67.15,69.29,39.22,67.15,90.25,69.73,4.74,1,85.0,100.0,85.0,196,2,4,Muito Forte
183,Elite X PRO,04 - 09 - 35 - 37 - 52 - 54,67.24,Media,65.09,71.36,29.53,65.09,81.25,73.53,4.8,1,85.0,100.0,55.0,191,3,3,Muito Forte
184,Elite X PRO,03 - 15 - 27 - 48 - 49 - 56,67.23,Media,68.41,67.84,28.73,68.41,100.0,71.0,4.96,2,100.0,100.0,100.0,198,2,4,Muito Forte
185,Elite X PRO,06 - 14 - 36 - 37 - 45 - 60,67.22,Media,68.69,68.14,34.28,68.69,94.75,73.13,5.16,1,85.0,100.0,100.0,198,4,2,Muito Forte
186,Elite X PRO,09 - 15 - 35 - 38 - 54 - 56,67.22,Media,66.18,70.66,31.56,66.18,88.5,69.73,4.68,2,100.0,80.0,85.0,207,3,3,Muito Forte
187,Elite X PRO,06 - 15 - 27 - 42 - 48 - 60,67.2,Media,68.4,67.85,26.7,68.4,100.0,73.13,5.12,2,100.0,100.0,100.0,198,4,2,Muito Forte
188,Elite X PRO,04 - 06 - 11 - 39 - 56 - 60,67.2,Media,67.06,66.03,34.78,67.06,90.25,74.8,5.06,1,85.0,100.0,85.0,176,4,2,Muito Forte
189,Elite X PRO,04 - 09 - 21 - 32 - 33 - 60,67.19,Media,66.09,66.8,30.85,66.09,88.5,75.67,5.16,2,100.0,80.0,85.0,159,3,3,Muito Forte
190,Elite X PRO,04 - 09 - 35 - 40 - 45 - 50,67.19,Media,64.39,66.12,28.94,64.39,81.25,77.4,5.12,1,85.0,100.0,55.0,183,3,3,Forte
191,Elite X PRO,01 - 15 - 30 - 33 - 44 - 45,67.18,Media,67.73,67.76,32.82,67.73,93.0,68.07,4.74,2,100.0,80.0,100.0,168,2,4,Muito Forte
192,Elite X PRO,09 - 13 - 22 - 46 - 47 - 49,67.18,Media,66.63,65.92,33.81,66.63,90.25,74.4,5.0,1,85.0,100.0,85.0,186,2,4,Muito Forte
193,Elite X PRO,01 - 06 - 09 - 46 - 53 - 54,67.18,Media,63.99,67.19,38.67,63.99,74.25,75.6,4.92,1,85.0,80.0,55.0,169,3,3,Forte
194,Elite X PRO,08 - 10 - 15 - 27 - 45 - 52,67.16,Media,68.18,68.47,35.18,68.18,87.75,73.0,5.14,1,85.0,80.0,100.0,157,3,3,Muito Forte
195,Elite X PRO,03 - 09 - 10 - 37 - 53 - 54,67.15,Media,63.94,69.18,38.79,63.94,79.5,72.33,4.66,2,100.0,80.0,55.0,166,2,4,Forte
196,Elite X PRO,13 - 23 - 29 - 30 - 33 - 52,67.14,Media,66.66,63.07,33.26,66.66,90.25,78.47,5.26,1,85.0,100.0,85.0,180,2,4,Muito Forte
197,Elite X PRO,13 - 15 - 21 - 32 - 42 - 48,67.13,Media,67.29,67.7,25.26,67.29,90.25,78.33,5.28,1,85.0,100.0,85.0,171,3,3,Muito Forte
198,Elite X PRO,08 - 11 - 13 - 24 - 37 - 60,67.1,Media,68.36,70.3,36.29,68.36,87.75,70.93,4.94,1,85.0,80.0,100.0,153,3,3,Muito Forte
199,Elite X PRO,03 - 12 - 24 - 37 - 52 - 54,67.09,Media,68.56,67.71,25.49,68.56,94.75,73.53,5.12,1,85.0,100.0,100.0,182,4,2,Muito Forte
200,Elite X PRO,09 - 19 - 22 - 33 - 34 - 49,67.08,Media,67.83,66.84,38.18,67.83,87.75,73.27,5.16,1,85.0,80.0,100.0,166,2,4,Muito Forte
201,Elite X PRO,09 - 13 - 15 - 36 - 44 - 48,67.07,Media,66.44,71.22,24.83,66.44,88.5,70.53,4.74,2,100.0,80.0,85.0,165,3,3,Muito Forte
202,Elite X PRO,13 - 23 - 30 - 40 - 41 - 56,67.06,Media,67.59,67.54,32.82,67.59,87.75,73.8,5.14,1,85.0,80.0,100.0,203,3,3,Muito Forte
203,Elite X PRO,01 - 09 - 37 - 42 - 48 - 49,67.06,Media,64.42,67.47,37.75,64.42,81.25,73.8,4.8,1,85.0,100.0,55.0,186,2,4,Forte
204,Elite X PRO,04 - 09 - 23 - 36 - 52 - 54,67.03,Media,67.03,67.0,30.52,67.03,90.25,75.73,5.12,1,85.0,100.0,85.0,178,4,2,Muito Forte
205,Elite X PRO,01 - 09 - 30 - 39 - 42 - 49,67.03,Media,66.83,67.37,34.52,66.83,95.5,66.8,4.48,2,100.0,100.0,85.0,170,2,4,Muito Forte
206,Elite X PRO,10 - 11 - 19 - 27 - 48 - 56,67.0,Media,69.87,70.46,43.63,69.87,79.0,73.93,5.18,0,40.0,100.0,100.0,171,3,3,Muito Forte
207,Elite X PRO,03 - 04 - 13 - 37 - 44 - 58,66.98,Media,68.29,70.82,30.93,68.29,87.75,71.53,5.04,1,85.0,80.0,100.0,159,3,3,Muito Forte
208,Elite X PRO,05 - 14 - 34 - 38 - 39 - 60,66.96,Media,66.16,62.94,36.17,66.16,90.25,78.07,5.3,1,85.0,100.0,85.0,190,4,2,Muito Forte
209,Elite X PRO,04 - 15 - 32 - 39 - 49 - 59,66.95,Media,68.38,67.42,34.96,68.38,94.75,72.07,5.08,1,85.0,100.0,100.0,198,2,4,Muito Forte
210,Elite X PRO,04 - 09 - 15 - 49 - 58 - 60,66.95,Media,67.17,70.78,30.24,67.17,88.5,70.6,4.76,3,80.0,100.0,85.0,195,3,3,Muito Forte
211,Elite X PRO,01 - 13 - 40 - 44 - 49 - 60,66.93,Media,67.97,71.62,32.49,67.97,87.75,69.27,4.84,1,85.0,80.0,100.0,207,3,3,Muito Forte
212,Elite X PRO,13 - 15 - 21 - 38 - 48 - 49,66.92,Media,66.55,67.03,29.82,66.55,90.25,74.33,4.98,1,85.0,100.0,85.0,184,2,4,Muito Forte
213,Elite X PRO,10 - 16 - 17 - 21 - 48 - 49,66.92,Media,66.11,66.76,34.19,66.11,83.25,78.13,5.3,1,85.0,80.0,85.0,161,3,3,Muito Forte
214,Elite X PRO,04 - 19 - 24 - 30 - 37 - 47,66.91,Media,68.28,71.44,29.27,68.28,87.75,70.67,4.94,1,85.0,80.0,100.0,161,3,3,Muito Forte
215,Elite X PRO,02 - 13 - 18 - 41 - 57 - 60,66.91,Media,66.13,62.56,27.65,66.13,90.25,81.4,5.54,1,85.0,100.0,85.0,191,3,3,Muito Forte
216,Elite X PRO,03 - 09 - 14 - 33 - 45 - 56,66.9,Media,67.61,67.9,32.58,67.61,93.0,71.8,5.06,2,100.0,80.0,100.0,160,2,4,Muito Forte
217,Elite X PRO,04 - 17 - 21 - 30 - 31 - 54,66.9,Media,67.48,66.36,29.27,67.48,93.0,72.73,5.08,2,100.0,80.0,100.0,157,3,3,Muito Forte
218,Elite X PRO,09 - 13 - 39 - 44 - 48 - 54,66.89,Media,68.25,74.42,30.76,68.25,87.75,66.33,4.62,1,85.0,80.0,100.0,207,3,3,Muito Forte
219,Elite X PRO,03 - 10 - 36 - 42 - 45 - 60,66.87,Media,66.15,65.18,30.08,66.15,95.5,75.73,5.16,2,100.0,100.0,85.0,196,4,2,Muito Forte
220,Elite X PRO,16 - 21 - 36 - 37 - 39 - 60,66.87,Media,65.75,66.94,38.39,65.75,83.25,76.53,5.14,1,85.0,80.0,85.0,209,3,3,Muito Forte
221,Elite X PRO,09 - 18 - 30 - 36 - 46 - 49,66.86,Media,67.93,67.25,25.45,67.93,100.0,67.0,4.66,2,100.0,100.0,100.0,188,4,2,Muito Forte
222,Elite X PRO,03 - 18 - 31 - 35 - 49 - 60,66.84,Media,67.79,65.35,28.31,67.79,100.0,72.07,5.08,2,100.0,100.0,100.0,196,2,4,Muito Forte
223,Elite X PRO,06 - 10 - 21 - 37 - 53 - 56,66.83,Media,67.64,70.63,40.04,67.64,74.5,75.2,5.08,0,40.0,100.0,85.0,183,3,3,Muito Forte
224,Elite X PRO,08 - 13 - 15 - 33 - 52 - 53,66.83,Media,66.84,66.41,31.3,66.84,90.25,77.33,5.22,1,85.0,100.0,85.0,174,2,4,Muito Forte
225,Elite X PRO,09 - 11 - 30 - 37 - 45 - 60,66.82,Media,69.7,71.23,39.03,69.7,93.0,56.1,4.11,3,80.0,100.0,100.0,192,2,4,Muito Forte
226,Elite X PRO,09 - 10 - 36 - 44 - 45 - 54,66.82,Media,66.77,69.07,38.58,66.77,90.25,69.6,4.7,1,85.0,100.0,85.0,198,4,2,Muito Forte
227,Elite X PRO,06 - 15 - 22 - 36 - 51 - 52,66.81,Media,67.84,63.35,26.51,67.84,94.75,78.07,5.46,1,85.0,100.0,100.0,182,4,2,Muito Forte
228,Elite X PRO,06 - 13 - 30 - 36 - 51 - 60,66.8,Media,67.84,66.06,27.22,67.84,100.0,71.93,5.0,2,100.0,100.0,100.0,196,4,2,Muito Forte
229,Elite X PRO,13 - 17 - 34 - 40 - 45 - 56,66.8,Media,65.57,65.95,34.39,65.57,83.25,79.67,5.42,1,85.0,80.0,85.0,205,3,3,Muito Forte
230,Elite X PRO,01 - 05 - 11 - 52 - 54 - 60,66.8,Media,63.9,64.54,27.93,63.9,81.25,79.0,5.16,1,85.0,100.0,55.0,183,3,3,Forte
231,Elite X PRO,08 - 17 - 39 - 44 - 45 - 60,66.79,Media,67.07,66.48,32.08,67.07,93.0,72.47,5.08,2,100.0,80.0,100.0,213,3,3,Muito Forte
232,Elite X PRO,06 - 14 - 24 - 27 - 39 - 60,66.77,Media,68.52,66.91,32.27,68.52,94.75,72.47,5.06,1,85.0,100.0,100.0,170,4,2,Muito Forte
233,Elite X PRO,03 - 11 - 34 - 45 - 56 - 57,66.76,Media,66.91,63.71,42.45,66.91,87.75,76.93,5.4,1,85.0,80.0,100.0,206,2,4,Muito Forte
234,Elite X PRO,15 - 30 - 36 - 37 - 44 - 53,66.74,Media,67.43,70.09,33.39,67.43,93.0,66.0,4.58,2,100.0,80.0,100.0,215,3,3,Muito Forte
235,Elite X PRO,03 - 14 - 18 - 39 - 42 - 56,66.72,Media,68.26,65.08,31.92,68.26,94.75,74.33,5.22,1,85.0,100.0,100.0,172,4,2,Muito Forte
236,Elite X PRO,06 - 11 - 38 - 49 - 53 - 60,66.72,Media,67.48,68.23,40.4,67.48,87.75,71.33,4.98,1,85.0,80.0,100.0,217,3,3,Muito Forte
237,Elite X PRO,06 - 15 - 34 - 45 - 47 - 54,66.72,Media,67.48,68.98,27.41,67.48,87.75,74.33,5.22,1,85.0,80.0,100.0,201,3,3,Muito Forte
238,Elite X PRO,08 - 09 - 17 - 21 - 42 - 56,66.72,Media,67.47,67.16,28.83,67.47,93.0,73.53,5.18,2,100.0,80.0,100.0,153,3,3,Muito Forte
239,Elite X PRO,03 - 06 - 13 - 37 - 52 - 54,66.72,Media,66.36,70.65,28.37,66.36,83.25,74.53,5.04,1,85.0,80.0,85.0,165,3,3,Muito Forte
240,Elite X PRO,03 - 06 - 30 - 36 - 49 - 54,66.7,Media,68.17,67.24,23.13,68.17,100.0,67.67,4.74,2,100.0,100.0,100.0,178,4,2,Muito Forte
241,Elite X PRO,09 - 10 - 15 - 27 - 49 - 52,66.7,Media,67.86,71.76,29.11,67.86,93.0,66.87,4.68,2,100.0,80.0,100.0,162,2,4,Muito Forte
242,Elite X PRO,09 - 19 - 33 - 40 - 43 - 54,66.69,Media,68.06,66.45,34.33,68.06,94.75,72.87,5.14,1,85.0,100.0,100.0,198,2,4,Muito Forte
243,Elite X PRO,04 - 19 - 27 - 30 - 37 - 42,66.69,Media,67.95,70.0,31.7,67.95,87.75,70.4,4.92,1,85.0,80.0,100.0,159,3,3,Muito Forte
244,Elite X PRO,03 - 09 - 28 - 34 - 37 - 49,66.69,Media,65.63,66.77,37.32,65.63,88.5,72.27,4.92,2,100.0,80.0,85.0,160,2,4,Muito Forte
245,Elite X PRO,08 - 21 - 30 - 38 - 47 - 49,66.68,Media,66.36,66.37,29.02,66.36,90.25,73.53,4.96,1,85.0,100.0,85.0,193,3,3,Muito Forte
246,Elite X PRO,19 - 21 - 23 - 30 - 42 - 46,66.68,Media,63.78,62.14,30.64,63.78,81.25,79.8,5.18,1,85.0,100.0,55.0,181,3,3,Forte
247,Elite X PRO,14 - 15 - 30 - 36 - 52 - 53,66.66,Media,65.91,64.46,33.73,65.91,95.5,74.2,4.94,2,100.0,100.0,85.0,200,4,2,Muito Forte
248,Elite X PRO,07 - 15 - 33 - 39 - 46 - 54,66.65,Media,68.01,66.6,32.35,68.01,94.75,72.07,5.08,1,85.0,100.0,100.0,194,2,4,Muito Forte
249,Elite X PRO,08 - 09 - 19 - 29 - 40 - 58,66.64,Media,67.58,67.16,28.51,67.58,87.75,75.87,5.34,1,85.0,80.0,100.0,163,3,3,Muito Forte
250,Elite X PRO,11 - 15 - 30 - 42 - 48 - 59,66.64,Media,65.24,66.65,30.29,65.24,88.5,73.27,4.9,2,100.0,80.0,85.0,205,3,3,Muito Forte
251,Elite X PRO,11 - 30 - 37 - 39 - 42 - 52,66.62,Media,67.42,68.91,37.78,67.42,87.75,68.67,4.78,1,85.0,80.0,100.0,211,3,3,Muito Forte
252,Elite X PRO,09 - 27 - 38 - 40 - 45 - 60,66.62,Media,67.22,68.68,33.35,67.22,93.0,70.33,4.94,2,100.0,80.0,100.0,219,3,3,Muito Forte
253,Elite X PRO,01 - 08 - 21 - 47 - 52 - 60,66.62,Media,66.2,65.36,22.82,66.2,90.25,79.27,5.4,1,85.0,100.0,85.0,189,3,3,Muito Forte
254,Elite X PRO,01 - 17 - 27 - 48 - 49 - 60,66.59,Media,66.88,67.04,29.35,66.88,93.0,73.67,5.16,2,100.0,80.0,100.0,202,2,4,Muito Forte
255,Elite X PRO,04 - 15 - 33 - 35 - 53 - 56,66.57,Media,66.37,67.11,33.78,66.37,90.25,75.6,5.12,1,85.0,100.0,85.0,196,2,4,Muito Forte
256,Elite X PRO,07 - 09 - 32 - 40 - 53 - 56,66.57,Media,63.85,64.79,34.63,63.85,81.25,78.87,5.2,1,85.0,100.0,55.0,197,3,3,Forte
257,Elite X PRO,07 - 15 - 18 - 34 - 40 - 60,66.56,Media,65.89,62.24,27.74,65.89,95.5,77.8,5.3,2,100.0,100.0,85.0,174,4,2,Muito Forte
258,Elite X PRO,06 - 10 - 11 - 24 - 53 - 60,66.56,Media,65.75,66.8,40.63,65.75,83.25,74.13,5.0,1,85.0,80.0,85.0,164,4,2,Muito Forte
259,Elite X PRO,03 - 14 - 23 - 42 - 49 - 59,66.55,Media,67.72,64.86,29.03,67.72,94.75,75.53,5.3,1,85.0,100.0,100.0,190,2,4,Muito Forte
260,Elite X PRO,03 - 13 - 19 - 39 - 52 - 58,66.55,Media,65.86,63.57,29.46,65.86,90.25,78.4,5.3,1,85.0,100.0,85.0,184,2,4,Muito Forte
261,Elite X PRO,11 - 17 - 30 - 44 - 49 - 56,66.53,Media,65.24,67.5,32.22,65.24,88.5,70.33,4.68,2,100.0,80.0,85.0,207,3,3,Muito Forte
262,Elite X PRO,03 - 13 - 24 - 30 - 44 - 56,66.52,Media,68.19,68.16,26.15,68.19,100.0,66.93,4.66,2,100.0,100.0,100.0,170,4,2,Muito Forte
263,Elite X PRO,04 - 09 - 35 - 45 - 47 - 56,66.52,Media,66.35,67.38,34.44,66.35,90.25,74.13,5.04,1,85.0,100.0,85.0,196,2,4,Muito Forte
264,Elite X PRO,03 - 09 - 29 - 47 - 54 - 56,66.51,Media,65.79,64.58,31.21,65.79,95.5,74.73,5.06,2,100.0,100.0,85.0,198,2,4,Muito Forte
265,Elite X PRO,06 - 21 - 24 - 37 - 48 - 60,66.49,Media,68.16,68.8,28.83,68.16,94.75,72.8,5.1,1,85.0,100.0,100.0,196,4,2,Muito Forte
266,Elite X PRO,06 - 15 - 32 - 34 - 53 - 54,66.48,Media,66.0,64.64,34.42,66.0,90.25,77.2,5.24,1,85.0,100.0,85.0,194,4,2,Muito Forte
267,Elite X PRO,06 - 19 - 30 - 45 - 48 - 49,66.45,Media,66.29,67.12,29.23,66.29,90.25,73.33,4.92,1,85.0,100.0,85.0,197,3,3,Muito Forte
268,Elite X PRO,01 - 09 - 26 - 36 - 47 - 59,66.44,Media,67.96,64.77,26.8,67.96,94.75,75.13,5.3,1,85.0,100.0,100.0,178,2,4,Muito Forte
269,Elite X PRO,01 - 09 - 38 - 48 - 49 - 56,66.44,Media,65.63,69.61,31.66,65.63,83.25,72.0,4.88,1,85.0,80.0,85.0,201,3,3,Muito Forte
270,Elite X PRO,03 - 27 - 38 - 46 - 53 - 60,66.44,Media,65.44,66.41,41.27,65.44,82.5,73.87,5.16,2,100.0,50.0,100.0,227,3,3,Muito Forte
271,Elite X PRO,06 - 09 - 11 - 52 - 59 - 60,66.44,Media,63.6,65.67,26.33,63.6,86.5,77.13,5.02,2,100.0,100.0,55.0,197,3,3,Forte
272,Elite X PRO,09 - 22 - 28 - 35 - 37 - 47,66.42,Media,66.34,65.42,30.19,66.34,90.25,75.27,5.12,1,85.0,100.0,85.0,178,2,4,Muito Forte
273,Elite X PRO,03 - 08 - 11 - 35 - 42 - 56,66.41,Media,67.34,66.33,35.37,67.34,87.75,73.4,5.18,1,85.0,80.0,100.0,155,3,3,Muito Forte
274,Elite X PRO,15 - 16 - 32 - 37 - 39 - 49,66.41,Media,63.47,63.57,38.89,63.47,81.25,76.67,4.98,1,85.0,100.0,55.0,188,2,4,Forte
275,Elite X PRO,17 - 28 - 33 - 38 - 48 - 53,66.38,Media,66.86,64.8,36.95,66.86,87.75,79.07,5.56,1,85.0,80.0,100.0,217,3,3,Muito Forte
276,Elite X PRO,07 - 08 - 14 - 30 - 39 - 60,66.38,Media,66.64,63.21,39.17,66.64,93.0,70.53,4.94,2,100.0,80.0,100.0,158,4,2,Muito Forte
277,Elite X PRO,03 - 10 - 11 - 24 - 54 - 59,66.38,Media,65.78,67.88,33.4,65.78,83.25,74.13,5.0,1,85.0,80.0,85.0,161,3,3,Muito Forte
278,Elite X PRO,04 - 10 - 15 - 21 - 35 - 60,66.37,Media,66.16,70.45,33.26,66.16,82.5,70.8,4.96,2,100.0,50.0,100.0,145,3,3,Muito Forte
279,Elite X PRO,08 - 09 - 17 - 38 - 54 - 60,66.36,Media,66.12,66.55,32.27,66.12,88.5,73.47,4.96,3,80.0,100.0,85.0,186,4,2,Muito Forte
280,Elite X PRO,04 - 06 - 11 - 38 - 45 - 60,66.34,Media,67.41,68.2,33.57,67.41,87.75,73.4,5.18,1,85.0,80.0,100.0,164,4,2,Muito Forte
281,Elite X PRO,14 - 19 - 26 - 34 - 35 - 53,66.33,Media,66.83,64.78,41.93,66.83,74.5,80.53,5.46,0,40.0,100.0,85.0,181,3,3,Muito Forte
282,Elite X PRO,03 - 13 - 18 - 48 - 56 - 59,66.33,Media,66.07,65.74,26.18,66.07,90.25,78.47,5.32,1,85.0,100.0,85.0,197,3,3,Muito Forte
283,Elite X PRO,05 - 09 - 40 - 44 - 53 - 60,66.31,Media,65.01,66.68,33.24,65.01,88.5,71.93,4.86,2,100.0,80.0,85.0,211,3,3,Muito Forte
284,Elite X PRO,03 - 09 - 13 - 37 - 42 - 52,66.27,Media,67.29,69.38,31.5,67.29,93.0,69.67,4.9,2,100.0,80.0,100.0,156,2,4,Muito Forte
285,Elite X PRO,09 - 19 - 30 - 45 - 47 - 54,66.22,Media,66.7,68.35,31.87,66.7,93.0,67.8,4.72,2,100.0,80.0,100.0,204,2,4,Muito Forte
286,Elite X PRO,10 - 23 - 27 - 30 - 38 - 39,66.22,Media,63.05,65.71,37.66,63.05,74.25,75.13,4.88,1,85.0,80.0,55.0,167,3,3,Forte
287,Elite X PRO,08 - 27 - 30 - 39 - 44 - 49,66.21,Media,66.22,68.45,30.38,66.22,90.25,68.47,4.58,1,85.0,100.0,85.0,197,3,3,Muito Forte
288,Elite X PRO,09 - 10 - 15 - 21 - 48 - 60,66.2,Media,67.99,73.38,26.58,67.99,86.0,68.2,4.78,3,80.0,80.0,100.0,163,3,3,Muito Forte
289,Elite X PRO,11 - 15 - 24 - 40 - 48 - 54,66.2,Media,67.78,67.92,27.51,67.78,94.75,71.47,4.96,1,85.0,100.0,100.0,192,4,2,Muito Forte
290,Elite X PRO,03 - 04 - 30 - 35 - 44 - 46,66.2,Media,65.09,65.78,36.5,65.09,88.5,70.8,4.78,2,100.0,80.0,85.0,162,4,2,Muito Forte
291,Elite X PRO,01 - 04 - 21 - 42 - 52 - 60,66.19,Media,66.15,65.29,25.52,66.15,90.25,78.2,5.32,1,85.0,100.0,85.0,180,4,2,Muito Forte
292,Elite X PRO,11 - 15 - 27 - 30 - 44 - 45,66.19,Media,63.45,63.82,36.24,63.45,86.5,71.8,4.6,2,100.0,100.0,55.0,172,2,4,Forte
293,Elite X PRO,07 - 21 - 30 - 38 - 46 - 52,66.17,Media,67.37,64.4,31.83,67.37,94.75,73.6,5.16,1,85.0,100.0,100.0,194,4,2,Muito Forte
294,Elite X PRO,03 - 10 - 19 - 32 - 35 - 58,66.17,Media,65.14,63.37,37.49,65.14,83.25,78.47,5.38,1,85.0,80.0,85.0,157,3,3,Muito Forte
